elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001275, 10.001275, 376, 604, 9343.2, 2838, 37407, 118470, 160412, 160412, 0
20.000952, 9.999677, 367, 682, 6726.7, 2157, 32117, 71140, 118470, 118470, 0
30.001987, 10.001035, 350, 628, 8483.8, 2422, 32556, 98513, 169671, 169671, 0
40.001982, 9.999995, 335, 727, 7318.8, 2452, 25366, 119203, 160253, 160253, 0
50.001983, 10.000001, 382, 691, 4428.7, 2363, 14651, 35290, 87478, 87478, 0
60.002087, 10.000104, 384, 715, 8526.9, 2478, 37532, 122372, 156983, 156983, 0
70.001194, 9.999107, 395, 882, 3984.1, 2289, 12966, 27024, 59675, 59675, 0
80.000877, 9.999683, 388, 761, 4265.8, 2390, 13973, 40599, 44522, 44522, 0
90.0025, 10.001623, 354, 984, 4972.6, 2497, 14082, 48559, 141368, 141368, 0
100.000997, 9.998497, 378, 948, 5628.4, 2433, 13234, 100738, 132721, 132721, 0
110.001975, 10.000978, 355, 999, 3965.3, 2491, 13617, 23990, 78914, 78914, 0
120.002002, 10.000027, 352, 915, 5090.3, 2298, 12316, 78914, 181246, 181246, 0
130.001987, 9.999985, 356, 1019, 5648.0, 2408, 11469, 105396, 181246, 181246, 0
140.002702, 10.000715, 346, 1000, 3256.8, 2420, 7542, 22728, 27771, 27771, 0
150.000957, 9.998255, 363, 1062, 4953.7, 2611, 14022, 33180, 130597, 130597, 0
160.001936, 10.000979, 382, 838, 3529.2, 2486, 9053, 23852, 42882, 42882, 0
170.002096, 10.00016, 391, 1029, 4811.4, 2483, 9428, 39994, 179856, 179856, 0
180.001689, 9.999593, 371, 868, 3599.6, 2381, 11822, 25147, 36335, 36335, 0
190.001094, 9.999405, 359, 1194, 4649.6, 2491, 9680, 36335, 147573, 147573, 0
200.001246, 10.000152, 399, 1033, 3561.5, 2505, 6514, 30238, 41270, 41270, 0
210.000953, 9.999707, 380, 1053, 3843.4, 2581, 9483, 31575, 56668, 56668, 0
220.002009, 10.001056, 346, 1207, 3215.3, 2533, 6768, 12296, 27439, 27439, 0
