elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001275, 10.001275, 354, 529, 17285.3, 7809, 58426, 152807, 171922, 171922, 0
20.000952, 9.999677, 348, 432, 13961.3, 6305, 50705, 109688, 162785, 162785, 0
30.001987, 10.001035, 349, 540, 14017.7, 5786, 74094, 161924, 175267, 175267, 0
40.001982, 9.999995, 369, 471, 10329.3, 4904, 35241, 149524, 174601, 174601, 0
50.001983, 10.000001, 370, 577, 6760.2, 4098, 22108, 54585, 89187, 89187, 0
60.002087, 10.000104, 382, 577, 9822.1, 2778, 42817, 127365, 164493, 164493, 0
70.001194, 9.999107, 350, 676, 4317.1, 1746, 13251, 33680, 57541, 57541, 0
80.000877, 9.999683, 386, 594, 5634.6, 1787, 21492, 46591, 84378, 84378, 0
90.0025, 10.001623, 343, 755, 7301.5, 1743, 36899, 87027, 202428, 202428, 0
100.000997, 9.998497, 390, 653, 7578.5, 1772, 32177, 133417, 169946, 169946, 0
110.001975, 10.000978, 345, 673, 3567.0, 1741, 11966, 27178, 90520, 90520, 0
120.002002, 10.000027, 374, 659, 5312.3, 1721, 13587, 86508, 188940, 188940, 0
130.001987, 9.999985, 371, 617, 6362.2, 1771, 12710, 142105, 188940, 188940, 0
140.002702, 10.000715, 386, 802, 3044.0, 1817, 9019, 28286, 42292, 42292, 0
150.000957, 9.998255, 357, 836, 5783.2, 1854, 9371, 149043, 170011, 170011, 0
160.001936, 10.000979, 368, 670, 2537.6, 1814, 7662, 16187, 27285, 27285, 0
170.002096, 10.00016, 356, 744, 4285.7, 1889, 7713, 85799, 165172, 165172, 0
180.001689, 9.999593, 377, 706, 2414.4, 1694, 7407, 18296, 44786, 44786, 0
190.001094, 9.999405, 338, 838, 3053.6, 1851, 3373, 26901, 162917, 162917, 0
200.001246, 10.000152, 351, 766, 2237.0, 1838, 3100, 9012, 47283, 47283, 0
210.000953, 9.999707, 384, 760, 2532.8, 1863, 4477, 16703, 84048, 84048, 0
220.002009, 10.001056, 391, 887, 1842.6, 1782, 2662, 5688, 8769, 8769, 0
230.00223, 10.000221, 368, 766, 2479.5, 1868, 3599, 13118, 86706, 86706, 0
240.001063, 9.998833, 337, 759, 2265.9, 1758, 3479, 19064, 48820, 48820, 0
250.000928, 9.999865, 348, 931, 4297.9, 1821, 3329, 92499, 162412, 162412, 0
260.002001, 10.001073, 363, 806, 1932.8, 1854, 2882, 6433, 12715, 12715, 0
270.002053, 10.000052, 347, 963, 1945.8, 1883, 2922, 4411, 8514, 8514, 0
280.001006, 9.998953, 388, 860, 3198.2, 1891, 2788, 8250, 164486, 164486, 0
290.001955, 10.000949, 383, 848, 1910.5, 1885, 2799, 4990, 6837, 6837, 0
300.001971, 10.000016, 363, 774, 1739.1, 1702, 2817, 4649, 9886, 9886, 0
310.002341, 10.00037, 380, 663, 1835.9, 1793, 2790, 4197, 12989, 12989, 0
320.000909, 9.998568, 379, 771, 1850.1, 1805, 2688, 3208, 7059, 7059, 0
330.002213, 10.001304, 380, 744, 1807.4, 1791, 2659, 3341, 6191, 6191, 0
340.001034, 9.998821, 358, 917, 1917.0, 1854, 2849, 5492, 7934, 7934, 0
350.002037, 10.001003, 378, 904, 1838.1, 1814, 2586, 3779, 7169, 7169, 0
360.002021, 9.999984, 351, 733, 1679.7, 1629, 2365, 3916, 6758, 6758, 0
370.004739, 10.002718, 387, 741, 1733.7, 1686, 2662, 5377, 8237, 8237, 0
380.022526, 10.017787, 397, 805, 1954.6, 1851, 3106, 7293, 8615, 8615, 0
390.034528, 10.012002, 364, 805, 1789.3, 1695, 2852, 5443, 9092, 9092, 0
400.040343, 10.005815, 379, 846, 1772.3, 1607, 2692, 4160, 19646, 19646, 0
410.042309, 10.001966, 368, 784, 1799.9, 1680, 2796, 6478, 7660, 7660, 0
420.029185, 9.986876, 354, 906, 1704.7, 1617, 2520, 3840, 10027, 10027, 0
430.002717, 9.973532, 361, 763, 1734.0, 1527, 2658, 7059, 16930, 16930, 0
440.00137, 9.998653, 369, 727, 1754.9, 1645, 2803, 3983, 10382, 10382, 0
450.001456, 10.000086, 372, 880, 1988.4, 1839, 2994, 8538, 12669, 12669, 0
460.001044, 9.999588, 403, 767, 2082.2, 1939, 3104, 10952, 12669, 12669, 0
470.001998, 10.000954, 390, 829, 1888.8, 1848, 2744, 3595, 9293, 9293, 0
480.002077, 10.000079, 367, 903, 1976.6, 1913, 2919, 4147, 13445, 13445, 0
490.003219, 10.001142, 404, 726, 1756.6, 1702, 2728, 3939, 8572, 8572, 0
500.001274, 9.998055, 363, 839, 2047.5, 1901, 2792, 9588, 24349, 24349, 0
