elapsed, window, total, successful, failed
10.000818, 10.000818, 1203, 1203, 0
20.0017, 10.000882, 1189, 1189, 0
30.00188, 10.00018, 1240, 1240, 0
40.001951, 10.000071, 1191, 1191, 0
50.00189, 9.999939, 1217, 1217, 0
60.002345, 10.000455, 1220, 1220, 0
70.000721, 9.998376, 1202, 1202, 0
80.001832, 10.001111, 1240, 1240, 0
90.001931, 10.000099, 1244, 1244, 0
100.001714, 9.999783, 1282, 1282, 0
110.001758, 10.000044, 1229, 1229, 0
120.001561, 9.999803, 1229, 1229, 0
130.001614, 10.000053, 1235, 1235, 0
140.001746, 10.000132, 1178, 1178, 0
150.00162, 9.999874, 1191, 1191, 0
160.001565, 9.999945, 1276, 1276, 0
170.001713, 10.000148, 1170, 1170, 0
180.001622, 9.999909, 1229, 1229, 0
190.001672, 10.00005, 1220, 1220, 0
200.001603, 9.999931, 1230, 1230, 0
210.001662, 10.000059, 1266, 1266, 0
220.001695, 10.000033, 1233, 1233, 0
230.001554, 9.999859, 1178, 1178, 0
240.001679, 10.000125, 1201, 1201, 0
250.003117, 10.001438, 1263, 1263, 0
260.000627, 9.99751, 1253, 1253, 0
270.001651, 10.001024, 1189, 1189, 0
280.00165, 9.999999, 1159, 1159, 0
290.001577, 9.999927, 1233, 1233, 0
300.001616, 10.000039, 1244, 1244, 0
310.00173, 10.000114, 1211, 1211, 0
320.001608, 9.999878, 1231, 1231, 0
330.001627, 10.000019, 1252, 1252, 0
340.001661, 10.000034, 1274, 1274, 0
350.001718, 10.000057, 1195, 1195, 0
360.001713, 9.999995, 1272, 1272, 0
370.001863, 10.00015, 1205, 1205, 0
380.00178, 9.999917, 1200, 1200, 0
390.00173, 9.99995, 1215, 1215, 0
400.001596, 9.999866, 1263, 1263, 0
410.001619, 10.000023, 1222, 1222, 0
420.00162, 10.000001, 1301, 1301, 0
430.001566, 9.999946, 1234, 1234, 0
440.001634, 10.000068, 1203, 1203, 0
450.001766, 10.000132, 1291, 1291, 0
460.00166, 9.999894, 1231, 1231, 0
470.00182, 10.00016, 1194, 1194, 0
480.00162, 9.9998, 1248, 1248, 0
490.001708, 10.000088, 1283, 1283, 0
500.001661, 9.999953, 1295, 1295, 0
510.001779, 10.000118, 1275, 1275, 0
520.001684, 9.999905, 1193, 1193, 0
530.001598, 9.999914, 1205, 1205, 0
540.001729, 10.000131, 1198, 1198, 0
550.001792, 10.000063, 1235, 1235, 0
560.001864, 10.000072, 1247, 1247, 0
570.00158, 9.999716, 1245, 1245, 0
580.001737, 10.000157, 1257, 1257, 0
590.001713, 9.999976, 1235, 1235, 0
600.001646, 9.999933, 1260, 1260, 0
601.006128, 1.004482, 137, 137, 0
