elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001026, 10.001026, 44, 402, 2416.1, 1183, 4344, 45183, 45183, 45183, 0
20.001186, 10.00016, 32, 655, 1120.9, 1124, 1245, 1426, 1426, 1426, 0
30.00142, 10.000234, 35, 519, 1012.2, 1030, 1145, 1333, 1333, 1333, 0
40.00135, 9.99993, 18, 755, 1174.2, 1041, 1418, 3471, 3471, 3471, 0
50.001302, 9.999952, 31, 313, 1205.7, 1122, 2205, 4332, 4332, 4332, 0
60.001474, 10.000172, 41, 490, 1250.8, 1111, 1841, 5114, 5114, 5114, 0
70.001386, 9.999912, 30, 578, 1040.8, 1065, 1186, 1805, 1805, 1805, 0
80.001324, 9.999938, 28, 561, 1136.5, 1071, 1543, 3501, 3501, 3501, 0
90.001534, 10.00021, 33, 522, 1191.9, 1125, 1377, 4543, 4543, 4543, 0
100.00128, 9.999746, 43, 553, 1076.6, 1028, 1353, 5125, 5125, 5125, 0
110.001191, 9.999911, 32, 655, 1181.6, 1037, 1395, 6214, 6214, 6214, 0
120.001241, 10.00005, 42, 384, 1159.9, 1020, 2625, 6214, 6214, 6214, 0
130.001386, 10.000145, 27, 508, 1160.5, 1092, 3368, 3577, 3577, 3577, 0
140.00129, 9.999904, 39, 607, 1457.6, 1150, 3368, 4514, 4514, 4514, 0
150.001311, 10.000021, 38, 639, 1094.5, 1116, 1260, 1323, 1323, 1323, 0
160.001246, 9.999935, 30, 494, 1000.6, 996, 1202, 5092, 5092, 5092, 0
170.001219, 9.999973, 31, 550, 1062.1, 1018, 1256, 4474, 4474, 4474, 0
180.001238, 10.000019, 39, 626, 1240.4, 1021, 1140, 6627, 6627, 6627, 0
190.001348, 10.00011, 26, 746, 1145.0, 1002, 1194, 4668, 4668, 4668, 0
200.001349, 10.000001, 32, 577, 1074.6, 1018, 1158, 4633, 4633, 4633, 0
210.001166, 9.999817, 31, 308, 1059.7, 1022, 1151, 3927, 3927, 3927, 0
220.001196, 10.00003, 30, 707, 1287.7, 1039, 2473, 6044, 6044, 6044, 0
230.001245, 10.000049, 41, 506, 1083.4, 1010, 1216, 5214, 5214, 5214, 0
240.001154, 9.999909, 32, 607, 1180.1, 997, 1477, 6349, 6349, 6349, 0
250.001242, 10.000088, 39, 481, 1069.6, 1000, 1057, 6375, 6375, 6375, 0
260.001162, 9.99992, 37, 627, 990.2, 1003, 1078, 1424, 1424, 1424, 0
270.001146, 9.999984, 41, 501, 1020.4, 1012, 1492, 2145, 2145, 2145, 0
280.001245, 10.000099, 30, 428, 1095.2, 1044, 1203, 2621, 2621, 2621, 0
290.00123, 9.999985, 35, 311, 1076.3, 966, 1101, 5584, 5584, 5584, 0
300.001667, 10.000437, 25, 587, 1163.1, 1036, 1626, 4263, 4263, 4263, 0
310.001179, 9.999512, 50, 447, 1385.4, 1082, 3508, 4691, 4983, 4983, 0
320.001146, 9.999967, 49, 285, 1360.1, 1094, 3718, 5815, 6142, 6142, 0
330.001159, 10.000013, 63, 468, 1154.4, 1053, 1249, 4597, 5358, 5358, 0
340.00164, 10.000481, 59, 361, 1211.3, 1021, 2810, 4084, 4814, 4814, 0
350.001181, 9.999541, 49, 526, 1334.0, 1080, 2904, 4665, 4804, 4804, 0
360.002461, 10.00128, 45, 373, 1306.6, 1092, 3333, 4811, 4811, 4811, 0
370.001289, 9.998828, 56, 387, 1350.8, 1060, 4044, 4917, 5940, 5940, 0
380.001406, 10.000117, 53, 439, 1401.3, 1094, 4935, 5817, 6006, 6006, 0
390.001454, 10.000048, 49, 531, 1196.2, 1045, 1843, 3738, 4770, 4770, 0
400.004127, 10.002673, 44, 785, 1406.0, 1076, 4770, 5285, 5285, 5285, 0
410.001592, 9.997465, 75, 437, 1268.0, 1079, 4285, 4739, 5302, 5302, 0
420.001149, 9.999557, 62, 386, 1189.8, 1007, 3543, 5893, 6275, 6275, 0
430.001111, 9.999962, 56, 494, 1206.8, 1042, 2318, 4905, 5463, 5463, 0
440.001355, 10.000244, 50, 399, 1301.1, 1053, 2577, 4184, 5747, 5747, 0
450.001909, 10.000554, 52, 339, 1328.6, 1054, 2557, 4819, 6284, 6284, 0
460.001821, 9.999912, 66, 574, 1128.2, 1061, 2053, 2524, 4318, 4318, 0
470.001296, 9.999475, 40, 457, 1350.3, 1048, 4455, 5317, 5317, 5317, 0
480.001204, 9.999908, 44, 399, 955.1, 1007, 1236, 3761, 3761, 3761, 0
490.001515, 10.000311, 48, 336, 1085.8, 988, 3496, 6126, 6126, 6126, 0
500.002887, 10.001372, 53, 487, 1497.6, 1046, 4958, 5674, 8015, 8015, 0
510.001291, 9.998404, 59, 427, 1234.9, 1091, 1672, 3482, 8015, 8015, 0
520.001281, 9.99999, 48, 471, 1182.2, 1099, 1276, 4312, 4816, 4816, 0
530.001437, 10.000156, 52, 382, 1182.2, 1043, 1279, 5066, 5545, 5545, 0
540.001524, 10.000087, 45, 382, 1557.2, 1027, 5545, 6340, 6340, 6340, 0
550.002925, 10.001401, 53, 515, 1358.3, 1067, 2664, 6074, 6405, 6405, 0
560.001255, 9.99833, 59, 456, 1320.6, 1061, 3076, 5731, 6405, 6405, 0
570.001575, 10.00032, 67, 336, 1242.2, 1083, 2854, 3382, 5705, 5705, 0
580.001743, 10.000168, 60, 701, 1216.5, 1074, 2024, 3302, 5033, 5033, 0
