elapsed, window, total, successful, failed
10.000951, 10.000951, 57, 57, 0
20.001723, 10.000772, 58, 58, 0
30.001512, 9.999789, 66, 66, 0
40.001704, 10.000192, 50, 50, 0
50.001641, 9.999937, 58, 58, 0
60.001861, 10.00022, 46, 46, 0
70.001885, 10.000024, 59, 59, 0
80.001703, 9.999818, 66, 66, 0
90.001845, 10.000142, 57, 57, 0
100.001639, 9.999794, 49, 49, 0
110.001556, 9.999917, 66, 66, 0
120.001666, 10.00011, 65, 65, 0
130.00146, 9.999794, 55, 55, 0
140.001558, 10.000098, 52, 52, 0
150.001466, 9.999908, 52, 52, 0
160.001597, 10.000131, 72, 72, 0
170.001543, 9.999946, 67, 67, 0
180.00155, 10.000007, 64, 64, 0
190.001648, 10.000098, 61, 61, 0
200.001672, 10.000024, 52, 52, 0
210.00159, 9.999918, 61, 61, 0
220.001616, 10.000026, 59, 59, 0
230.001729, 10.000113, 60, 60, 0
240.001571, 9.999842, 53, 53, 0
250.001493, 9.999922, 78, 78, 0
260.001477, 9.999984, 54, 54, 0
270.001607, 10.00013, 54, 54, 0
280.001503, 9.999896, 65, 65, 0
290.00148, 9.999977, 50, 50, 0
300.001543, 10.000063, 51, 51, 0
310.001517, 9.999974, 83, 83, 0
320.001478, 9.999961, 86, 86, 0
330.00156, 10.000082, 74, 74, 0
340.001543, 9.999983, 83, 83, 0
350.001498, 9.999955, 72, 72, 0
360.001701, 10.000203, 87, 87, 0
370.001559, 9.999858, 81, 81, 0
380.001448, 9.999889, 75, 75, 0
390.001669, 10.000221, 79, 79, 0
400.001593, 9.999924, 71, 71, 0
410.001515, 9.999922, 72, 72, 0
420.001804, 10.000289, 76, 76, 0
430.001502, 9.999698, 68, 68, 0
440.001751, 10.000249, 82, 82, 0
450.001578, 9.999827, 77, 77, 0
460.001507, 9.999929, 78, 78, 0
470.00151, 10.000003, 92, 92, 0
480.001766, 10.000256, 72, 72, 0
490.001676, 9.99991, 85, 85, 0
500.001602, 9.999926, 81, 81, 0
510.001566, 9.999964, 75, 75, 0
520.001536, 9.99997, 77, 77, 0
530.00159, 10.000054, 82, 82, 0
540.00156, 9.99997, 69, 69, 0
550.001474, 9.999914, 89, 89, 0
560.001512, 10.000038, 72, 72, 0
570.001673, 10.000161, 78, 78, 0
579.998861, 9.997188, 76, 76, 0
589.995699, 9.996838, 99, 99, 0
599.993974, 9.998275, 84, 84, 0
610.001324, 10.00735, 98, 98, 0
620.001525, 10.000201, 84, 84, 0
630.001691, 10.000166, 91, 91, 0
640.001854, 10.000163, 82, 82, 0
650.001607, 9.999753, 93, 93, 0
660.00216, 10.000553, 88, 88, 0
670.002064, 9.999904, 107, 107, 0
680.001762, 9.999698, 103, 103, 0
690.00241, 10.000648, 89, 89, 0
700.002058, 9.999648, 97, 97, 0
710.001474, 9.999416, 91, 91, 0
720.002252, 10.000778, 93, 93, 0
730.00198, 9.999728, 90, 90, 0
740.002692, 10.000712, 89, 89, 0
750.00234, 9.999648, 95, 95, 0
760.001941, 9.999601, 98, 98, 0
770.002873, 10.000932, 86, 86, 0
780.001777, 9.998904, 88, 88, 0
790.001482, 9.999705, 103, 103, 0
800.001432, 9.99995, 99, 99, 0
810.001618, 10.000186, 93, 93, 0
820.001605, 9.999987, 98, 98, 0
830.001679, 10.000074, 100, 100, 0
840.002456, 10.000777, 99, 99, 0
850.001567, 9.999111, 77, 77, 0
860.001572, 10.000005, 84, 84, 0
870.001831, 10.000259, 91, 91, 0
880.001433, 9.999602, 90, 90, 0
890.001611, 10.000178, 103, 103, 0
900.001654, 10.000043, 99, 99, 0
910.001495, 9.999841, 133, 133, 0
920.001602, 10.000107, 132, 132, 0
930.001812, 10.00021, 156, 156, 0
940.002127, 10.000315, 136, 136, 0
950.000487, 9.99836, 124, 124, 0
960.001561, 10.001074, 130, 130, 0
970.001446, 9.999885, 150, 150, 0
980.001592, 10.000146, 119, 119, 0
990.001532, 9.99994, 127, 127, 0
1000.001635, 10.000103, 123, 123, 0
1010.001586, 9.999951, 107, 107, 0
1020.001716, 10.00013, 135, 135, 0
1030.001752, 10.000036, 119, 119, 0
1040.001493, 9.999741, 141, 141, 0
1050.001778, 10.000285, 129, 129, 0
1060.001593, 9.999815, 139, 139, 0
1070.001458, 9.999865, 146, 146, 0
1080.001671, 10.000213, 135, 135, 0
1090.001637, 9.999966, 126, 126, 0
1100.001527, 9.99989, 138, 138, 0
1110.001595, 10.000068, 159, 159, 0
1120.001554, 9.999959, 152, 152, 0
1130.001498, 9.999944, 117, 117, 0
1140.001638, 10.00014, 127, 127, 0
1150.001595, 9.999957, 134, 134, 0
1160.001602, 10.000007, 135, 135, 0
1170.001484, 9.999882, 129, 129, 0
1180.001683, 10.000199, 129, 129, 0
1190.001647, 9.999964, 148, 148, 0
1200.001596, 9.999949, 148, 148, 0
1201.005885, 1.004289, 10, 10, 0
