elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000764, 10.000764, 0, 0, 0, 0, 0, 0, 0, 0, 0
20.001758, 10.000994, 0, 0, 0, 0, 0, 0, 0, 0, 0
30.001781, 10.000023, 0, 0, 0, 0, 0, 0, 0, 0, 0
40.001853, 10.000072, 0, 0, 0, 0, 0, 0, 0, 0, 0
50.001874, 10.000021, 6, 2010328, 2288841.7, 2014305, 3278441, 3278441, 3278441, 3278441, 0
60.001802, 9.999928, 0, 0, 0, 0, 0, 0, 0, 0, 0
70.001885, 10.000083, 0, 0, 0, 0, 0, 0, 0, 0, 0
80.001829, 9.999944, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.002013, 10.000184, 0, 0, 0, 0, 0, 0, 0, 0, 0
100.00183, 9.999817, 0, 0, 0, 0, 0, 0, 0, 0, 0
110.00172, 9.99989, 5, 2010658, 2022145.5, 2016500, 2038591, 2038591, 2038591, 2038591, 0
120.001908, 10.000188, 5, 2009146, 2014097.2, 2013903, 2019535, 2019535, 2019535, 2019535, 0
130.001965, 10.000057, 0, 0, 0, 0, 0, 0, 0, 0, 0
140.001666, 9.999701, 0, 0, 0, 0, 0, 0, 0, 0, 0
150.001721, 10.000055, 0, 0, 0, 0, 0, 0, 0, 0, 0
160.001718, 9.999997, 0, 0, 0, 0, 0, 0, 0, 0, 0
170.002002, 10.000284, 0, 0, 0, 0, 0, 0, 0, 0, 0
180.00191, 9.999908, 0, 0, 0, 0, 0, 0, 0, 0, 0
190.001721, 9.999811, 0, 0, 0, 0, 0, 0, 0, 0, 0
200.001869, 10.000148, 0, 0, 0, 0, 0, 0, 0, 0, 0
210.001725, 9.999856, 0, 0, 0, 0, 0, 0, 0, 0, 0
220.00187, 10.000145, 0, 0, 0, 0, 0, 0, 0, 0, 0
230.001855, 9.999985, 0, 0, 0, 0, 0, 0, 0, 0, 0
240.001841, 9.999986, 0, 0, 0, 0, 0, 0, 0, 0, 0
250.001825, 9.999984, 0, 0, 0, 0, 0, 0, 0, 0, 0
260.00181, 9.999985, 0, 0, 0, 0, 0, 0, 0, 0, 0
270.001728, 9.999918, 5, 2009062, 2019270.0, 2016759, 2035669, 2035669, 2035669, 2035669, 0
280.001745, 10.000017, 0, 0, 0, 0, 0, 0, 0, 0, 0
290.001721, 9.999976, 0, 0, 0, 0, 0, 0, 0, 0, 0
300.002408, 10.000687, 0, 0, 0, 0, 0, 0, 0, 0, 0
310.002458, 10.00005, 0, 0, 0, 0, 0, 0, 0, 0, 0
320.001132, 9.998674, 0, 0, 0, 0, 0, 0, 0, 0, 0
330.000754, 9.999622, 11, 2009580, 2019571.5, 2017422, 2034030, 2036569, 2036569, 2036569, 0
340.001667, 10.000913, 6, 2014186, 2274863.7, 2020360, 3554906, 3554906, 3554906, 3554906, 0
350.001835, 10.000168, 6, 2008161, 2016573.9, 2010448, 2033701, 2033701, 2033701, 2033701, 0
360.001679, 9.999844, 5, 2010372, 2141747.8, 2020796, 2645328, 2645328, 2645328, 2645328, 0
370.001646, 9.999967, 6, 2009692, 2013286.3, 2011340, 2020007, 2020007, 2020007, 2020007, 0
380.001727, 10.000081, 6, 2006305, 2084781.0, 2009624, 2440753, 2440753, 2440753, 2440753, 0
390.001729, 10.000002, 5, 2009291, 2210806.4, 2019197, 2977301, 2977301, 2977301, 2977301, 0
400.001992, 10.000263, 6, 2011852, 2014951.7, 2014160, 2019491, 2019491, 2019491, 2019491, 0
410.003414, 10.001422, 5, 2008840, 2016402.4, 2011944, 2034626, 2034626, 2034626, 2034626, 0
420.000994, 9.99758, 8, 2009163, 2068618.4, 2019334, 2402881, 2402881, 2402881, 2402881, 0
430.00169, 10.000696, 0, 0, 0, 0, 0, 0, 0, 0, 0
440.001685, 9.999995, 6, 2004700, 2011032.3, 2010587, 2018699, 2018699, 2018699, 2018699, 0
450.001677, 9.999992, 0, 0, 0, 0, 0, 0, 0, 0, 0
460.002099, 10.000422, 5, 2010139, 2018575.0, 2018091, 2033818, 2033818, 2033818, 2033818, 0
470.001002, 9.998903, 6, 2008878, 2018465.2, 2010574, 2034933, 2034933, 2034933, 2034933, 0
480.004622, 10.00362, 0, 0, 0, 0, 0, 0, 0, 0, 0
490.00341, 9.998788, 0, 0, 0, 0, 0, 0, 0, 0, 0
500.001, 9.99759, 5, 2016751, 2023590.0, 2020497, 2031674, 2031674, 2031674, 2031674, 0
510.00175, 10.00075, 5, 2010846, 2014539.7, 2013445, 2020497, 2020497, 2020497, 2020497, 0
520.001682, 9.999932, 5, 2006877, 2019748.6, 2014472, 2035367, 2035367, 2035367, 2035367, 0
530.001748, 10.000066, 6, 2008464, 2015878.0, 2011299, 2039347, 2039347, 2039347, 2039347, 0
540.001751, 10.000003, 7, 2008428, 2011592.6, 2011024, 2014727, 2014727, 2014727, 2014727, 0
550.001657, 9.999906, 6, 2008057, 2012328.3, 2010577, 2024180, 2024180, 2024180, 2024180, 0
560.002936, 10.001279, 7, 2009907, 2020834.1, 2017773, 2037206, 2037206, 2037206, 2037206, 0
570.001814, 9.998878, 9, 2008698, 2019295.9, 2013929, 2032088, 2032088, 2032088, 2032088, 0
580.001634, 9.99982, 8, 2010045, 2014633.5, 2011603, 2033997, 2033997, 2033997, 2033997, 0
590.001873, 10.000239, 8, 2008113, 2016400.2, 2011525, 2036366, 2036366, 2036366, 2036366, 0
600.001838, 9.999965, 6, 2010006, 2014590.0, 2013874, 2019050, 2019050, 2019050, 2019050, 0
610.001697, 9.999859, 9, 2008045, 2106059.1, 2012312, 2823012, 2823012, 2823012, 2823012, 0
620.001799, 10.000102, 9, 2008045, 2038747.1, 2011823, 2257197, 2257197, 2257197, 2257197, 0
630.001983, 10.000184, 9, 2007432, 2018287.6, 2014139, 2039446, 2039446, 2039446, 2039446, 0
640.001713, 9.99973, 11, 2008267, 2016383.9, 2011179, 2032644, 2039446, 2039446, 2039446, 0
650.001838, 10.000125, 12, 2007696, 2013220.6, 2009910, 2019687, 2035950, 2035950, 2035950, 0
660.001818, 9.99998, 7, 2007696, 2020756.6, 2009457, 2035950, 2035950, 2035950, 2035950, 0
670.001847, 10.000029, 5, 2013807, 2026303.2, 2022451, 2035294, 2035294, 2035294, 2035294, 0
680.001826, 9.999979, 10, 2008385, 2087561.5, 2013214, 2733759, 2733759, 2733759, 2733759, 0
690.001809, 9.999983, 6, 2007165, 2013194.8, 2011541, 2019524, 2019524, 2019524, 2019524, 0
700.001826, 10.000017, 4, 2013918, 2016653.6, 2015096, 2019940, 2019940, 2019940, 2019940, 0
710.001739, 9.999913, 9, 2008354, 2015609.6, 2012269, 2042192, 2042192, 2042192, 2042192, 0
720.001806, 10.000067, 11, 2009293, 2016739.1, 2014670, 2024066, 2035570, 2035570, 2035570, 0
730.001723, 9.999917, 8, 2008070, 2332386.1, 2010653, 3632981, 3632981, 3632981, 3632981, 0
740.001713, 9.99999, 5, 2008151, 2010992.6, 2009459, 2015603, 2015603, 2015603, 2015603, 0
750.001706, 9.999993, 9, 2007650, 2014989.2, 2009650, 2035423, 2035423, 2035423, 2035423, 0
760.001727, 10.000021, 0, 0, 0, 0, 0, 0, 0, 0, 0
770.001679, 9.999952, 12, 2007963, 2075619.6, 2011762, 2036882, 2707742, 2707742, 2707742, 0
780.001711, 10.000032, 8, 2007963, 2141869.4, 2013555, 3274322, 3274322, 3274322, 3274322, 0
790.001756, 10.000045, 8, 2008535, 2014719.7, 2013537, 2031758, 2031758, 2031758, 2031758, 0
800.001684, 9.999928, 4, 2007924, 2016177.8, 2011422, 2033878, 2033878, 2033878, 2033878, 0
810.001699, 10.000015, 5, 2010198, 2015715.4, 2010814, 2032089, 2032089, 2032089, 2032089, 0
820.001952, 10.000253, 7, 2007348, 2020320.7, 2017121, 2037559, 2037559, 2037559, 2037559, 0
830.001771, 9.999819, 8, 2008245, 2182900.6, 2015120, 3504846, 3504846, 3504846, 3504846, 0
840.001667, 9.999896, 6, 2010870, 2193703.8, 2015120, 3404180, 3404180, 3404180, 3404180, 0
850.001889, 10.000222, 12, 2008525, 2020752.8, 2016447, 2036137, 2036704, 2036704, 2036704, 0
860.001854, 9.999965, 14, 2008667, 2017499.7, 2013617, 2036697, 2037999, 2037999, 2037999, 0
870.00163, 9.999776, 8, 2009228, 2018056.5, 2012517, 2035142, 2035142, 2035142, 2035142, 0
880.001809, 10.000179, 10, 2009325, 2019293.5, 2016843, 2033180, 2033180, 2033180, 2033180, 0
890.001766, 9.999957, 7, 2007983, 2016882.6, 2013771, 2035114, 2035114, 2035114, 2035114, 0
900.001626, 9.99986, 6, 2007983, 2011460.7, 2010683, 2018698, 2018698, 2018698, 2018698, 0
910.001888, 10.000262, 7, 2008678, 2015463.3, 2011023, 2036137, 2036137, 2036137, 2036137, 0
