elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000764, 10.000764, 8, 1544086, 1569605.9, 1560243, 1598013, 1598013, 1598013, 1598013, 0
20.001758, 10.000994, 7, 1542982, 1550423.1, 1549012, 1567606, 1567606, 1567606, 1567606, 0
30.001781, 10.000023, 5, 1538169, 1547423.8, 1543379, 1555600, 1555600, 1555600, 1555600, 0
40.001853, 10.000072, 6, 1541963, 1565139.0, 1552156, 1593880, 1593880, 1593880, 1593880, 0
50.001874, 10.000021, 0, 0, 0, 0, 0, 0, 0, 0, 0
60.001802, 9.999928, 0, 0, 0, 0, 0, 0, 0, 0, 0
70.001885, 10.000083, 5, 1558168, 1576692.8, 1579477, 1591803, 1591803, 1591803, 1591803, 0
80.001829, 9.999944, 6, 1541165, 1556008.0, 1544099, 1595689, 1595689, 1595689, 1595689, 0
90.002013, 10.000184, 4, 1541913, 1558403.4, 1556873, 1589788, 1589788, 1589788, 1589788, 0
100.00183, 9.999817, 8, 1537924, 1557760.6, 1554014, 1590877, 1590877, 1590877, 1590877, 0
110.00172, 9.99989, 0, 0, 0, 0, 0, 0, 0, 0, 0
120.001908, 10.000188, 5, 1547206, 1573386.2, 1588519, 1589827, 1589827, 1589827, 1589827, 0
130.001965, 10.000057, 5, 1540896, 1559997.1, 1553975, 1589827, 1589827, 1589827, 1589827, 0
140.001666, 9.999701, 4, 1549053, 1561601.2, 1565343, 1572367, 1572367, 1572367, 1572367, 0
150.001721, 10.000055, 5, 1543058, 1556291.4, 1554067, 1568030, 1568030, 1568030, 1568030, 0
160.001718, 9.999997, 0, 0, 0, 0, 0, 0, 0, 0, 0
170.002002, 10.000284, 6, 1542213, 1575759.8, 1588302, 1592784, 1592784, 1592784, 1592784, 0
180.00191, 9.999908, 0, 0, 0, 0, 0, 0, 0, 0, 0
190.001721, 9.999811, 5, 1552919, 1570971.0, 1572657, 1588052, 1588052, 1588052, 1588052, 0
200.001869, 10.000148, 0, 0, 0, 0, 0, 0, 0, 0, 0
210.001725, 9.999856, 7, 1543874, 1560531.5, 1554316, 1590145, 1590145, 1590145, 1590145, 0
220.00187, 10.000145, 6, 1542093, 1553034.3, 1544369, 1569125, 1569125, 1569125, 1569125, 0
230.001855, 9.999985, 9, 1533099, 1557207.1, 1545869, 1590039, 1590039, 1590039, 1590039, 0
240.001841, 9.999986, 6, 1542206, 1565283.0, 1564892, 1590918, 1590918, 1590918, 1590918, 0
250.001825, 9.999984, 7, 1533775, 1557794.3, 1549991, 1590412, 1590412, 1590412, 1590412, 0
260.00181, 9.999985, 4, 1543229, 1565977.7, 1556242, 1593164, 1593164, 1593164, 1593164, 0
270.001728, 9.999918, 0, 0, 0, 0, 0, 0, 0, 0, 0
280.001745, 10.000017, 9, 1543147, 1556827.8, 1545163, 1592912, 1592912, 1592912, 1592912, 0
290.001721, 9.999976, 7, 1544586, 1566719.5, 1552102, 1592912, 1592912, 1592912, 1592912, 0
300.002408, 10.000687, 10, 1545887, 1569744.0, 1565283, 1596166, 1596166, 1596166, 1596166, 0
310.002458, 10.00005, 10, 1536662, 1555455.9, 1544899, 1595046, 1595046, 1595046, 1595046, 0
320.001132, 9.998674, 13, 1538293, 1555328.8, 1548488, 1586546, 1594281, 1594281, 1594281, 0
330.000754, 9.999622, 7, 1539811, 1559909.0, 1561729, 1586757, 1586757, 1586757, 1586757, 0
340.001667, 10.000913, 11, 1542619, 1622660.6, 1558503, 1587179, 2316552, 2316552, 2316552, 0
350.001835, 10.000168, 7, 1538169, 1542973.7, 1541096, 1549123, 1549123, 1549123, 1549123, 0
360.001679, 9.999844, 12, 1537554, 1568787.7, 1551665, 1585675, 1677049, 1677049, 1677049, 0
370.001646, 9.999967, 16, 1538469, 1587594.3, 1551007, 1586574, 2043967, 2043967, 2043967, 0
380.001727, 10.000081, 11, 1538221, 1561699.6, 1557153, 1584732, 1590557, 1590557, 1590557, 0
390.001729, 10.000002, 11, 1538223, 1568821.5, 1564445, 1589647, 1594585, 1594585, 1594585, 0
400.001992, 10.000263, 9, 1538124, 1565585.2, 1562319, 1586802, 1588436, 1588436, 1588436, 0
410.003414, 10.001422, 10, 1538124, 1563082.7, 1559376, 1583463, 1586802, 1586802, 1586802, 0
420.000994, 9.99758, 12, 1538662, 1752396.2, 1559038, 2482685, 2915151, 2915151, 2915151, 0
430.00169, 10.000696, 12, 1532619, 1558873.6, 1553489, 1591700, 1596516, 1596516, 1596516, 0
440.001685, 9.999995, 11, 1535173, 1553863.1, 1546264, 1579359, 1588077, 1588077, 1588077, 0
450.001677, 9.999992, 10, 1541368, 1563709.6, 1553894, 1591777, 1597098, 1597098, 1597098, 0
460.002099, 10.000422, 11, 1541961, 1561323.8, 1555832, 1571746, 1594908, 1594908, 1594908, 0
470.001002, 9.998903, 10, 1533576, 1623799.0, 1552929, 1590258, 2331904, 2331904, 2331904, 0
480.004622, 10.00362, 20, 1541915, 1617012.4, 1553647, 1591553, 2795162, 2795162, 2795162, 0
490.00341, 9.998788, 11, 1541915, 1641952.6, 1561738, 1587595, 2700475, 2700475, 2700475, 0
500.001, 9.99759, 12, 1542659, 1562999.5, 1561534, 1584760, 1594438, 1594438, 1594438, 0
510.00175, 10.00075, 15, 1540251, 1749382.9, 1557504, 2806628, 3138961, 3138961, 3138961, 0
520.001682, 9.999932, 12, 1539352, 1560090.4, 1553303, 1593673, 1593677, 1593677, 1593677, 0
530.001748, 10.000066, 13, 1539957, 1552485.2, 1553521, 1564590, 1565515, 1565515, 1565515, 0
